R_fighter                 ,B_fighter                 ,R_record  ,B_record  ,Rematch ,R_KD ,B_KD ,R_SIG_STR. ,B_SIG_STR. ,R_TOTAL_STR. ,B_TOTAL_STR. ,R_TD     ,B_TD     ,R_SUB_ATT ,B_SUB_ATT ,R_CTRL ,B_CTRL ,R_HEAD  ,B_HEAD  ,win_by                  ,last_round ,last_round_time ,Format               ,date      ,Fight_type         ,Winner
Alexander Munoz           ,Carl Deaton               ,6_2_0     ,17_6_0    ,False   ,   1 ,   0 ,44_111     ,37_108     ,53_120       ,39_112       ,3 of 7   ,0 of 2   ,        0 ,        0 ,   234 ,     0 ,37_99   ,29_97   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,15-Jul-23 ,Men's Bout         ,Alexander Munoz
Tyson Nam                 ,Azat Maksum               ,21_13_1   ,16_0_0    ,False   ,   0 ,   0 ,81_213     ,46_189     ,98_242       ,46_190       ,0 of 0   ,2 of 11  ,        0 ,        0 ,    30 ,    22 ,27_149  ,33_167  ,Decision - Split        ,         3 ,            300 ,3 Rnd (5-5-5)        ,15-Jul-23 ,Men's Bout         ,Azat Maksum
Ashlee Evans-Smith        ,Ailin Perez               ,6_5_0     ,7_2_0     ,False   ,   0 ,   0 ,12_47      ,60_104     ,13_49        ,127_190      ,0 of 1   ,10 of 15 ,        0 ,        0 ,     8 ,   696 ,6_40    ,50_87   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,15-Jul-23 ,Women's Bout       ,Ailin Perez
Robert Whittaker          ,Dricus Du Plessis         ,25_6_0    ,19_2_0    ,False   ,   0 ,   1 ,31_70      ,62_104     ,32_71        ,74_118       ,1 of 1   ,1 of 1   ,        0 ,        0 ,    23 ,    57 ,23_59   ,38_77   ,KO/TKO                  ,         2 ,            143 ,3 Rnd (5-5-5)        ,8-Jul-23  ,Men's Bout         ,Dricus Du Plessis
Alexander Volkanovski     ,Yair Rodriguez            ,25_3_0    ,16_3_0    ,False   ,   0 ,   0 ,66_97      ,40_80      ,149_198      ,57_103       ,7 of 12  ,0 of 0   ,        0 ,        0 ,   433 ,     0 ,48_69   ,13_49   ,KO/TKO                  ,         3 ,            259 ,5 Rnd (5-5-5-5-5)    ,8-Jul-23  ,Men's Title Bout   ,Alexander Volkanovski
Yazmin Jauregui           ,Denise Gomes              ,10_0_0    ,7_3_0     ,False   ,   0 ,   1 ,0_1        ,17_20      ,0_1          ,21_24        ,0 of 0   ,0 of 0   ,        0 ,        0 ,     0 ,    10 ,0_1     ,17_20   ,KO/TKO                  ,         1 ,             20 ,3 Rnd (5-5-5)        ,8-Jul-23  ,Women's Bout       ,Denise Gomes
Brandon Moreno            ,Alexandre Pantoja         ,21_6_2    ,25_5_0    ,True    ,   0 ,   1 ,147_245    ,129_274    ,167_265      ,161_323      ,2 of 4   ,6 of 11  ,        0 ,        0 ,   241 ,   506 ,133_231 ,106_247 ,Decision - Split        ,         5 ,            300 ,5 Rnd (5-5-5-5-5)    ,8-Jul-23  ,Men's Title Bout   ,Alexandre Pantoja
Robbie Lawler             ,Niko Price                ,29_16_0   ,15_6_0    ,False   ,   1 ,   0 ,8_10       ,2_7        ,8_10         ,2_7          ,0 of 0   ,0 of 0   ,        0 ,        0 ,     0 ,     0 ,8_10    ,0_3     ,KO/TKO                  ,         1 ,             38 ,3 Rnd (5-5-5)        ,8-Jul-23  ,Men's Bout         ,Robbie Lawler
Tatsuro Taira             ,Edgar Chairez             ,13_0_0    ,10_4_0    ,False   ,   0 ,   1 ,61_78      ,25_38      ,121_148      ,26_39        ,2 of 3   ,0 of 0   ,        1 ,        2 ,   593 ,    25 ,40_54   ,15_23   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,8-Jul-23  ,Men's Bout         ,Tatsuro Taira
Bo Nickal                 ,Val Woodburn              ,4_0_0     ,7_0_0     ,False   ,   1 ,   0 ,7_10       ,2_9        ,7_10         ,2_9          ,0 of 1   ,0 of 0   ,        0 ,        0 ,     2 ,     0 ,7_10    ,2_9     ,KO/TKO                  ,         1 ,             38 ,3 Rnd (5-5-5)        ,8-Jul-23  ,Men's Bout         ,Bo Nickal
Jalin Turner              ,Dan Hooker                ,13_6_0    ,22_12_0   ,False   ,   0 ,   1 ,100_177    ,125_197    ,113_191      ,172_247      ,1 of 3   ,0 of 2   ,        0 ,        1 ,    18 ,   189 ,63_128  ,77_139  ,Decision - Split        ,         3 ,            300 ,3 Rnd (5-5-5)        ,8-Jul-23  ,Men's Bout         ,Dan Hooker
Cameron Saaiman           ,Terrence Mitchell         ,8_1_0     ,14_3_0    ,False   ,   0 ,   0 ,18_32      ,3_7        ,23_38        ,6_11         ,2 of 2   ,1 of 2   ,        1 ,        0 ,    97 ,    66 ,15_29   ,3_7     ,KO/TKO                  ,         1 ,            190 ,3 Rnd (5-5-5)        ,8-Jul-23  ,Men's Bout         ,Cameron Saaiman
Kamuela Kirk              ,Esteban Ribovics          ,12_5_0    ,11_1_0    ,False   ,   0 ,   0 ,56_107     ,115_202    ,86_147       ,135_224      ,3 of 14  ,2 of 2   ,        1 ,        0 ,   380 ,    75 ,36_84   ,94_177  ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,8-Jul-23  ,Men's Bout         ,Esteban Ribovics
Shannon Ross              ,Jesus Aguilar             ,13_7_0    ,8_2_0     ,False   ,   0 ,   1 ,2_3        ,2_3        ,2_3          ,2_3          ,0 of 0   ,0 of 0   ,        0 ,        0 ,     0 ,     0 ,1_2     ,1_1     ,KO/TKO                  ,         1 ,             17 ,3 Rnd (5-5-5)        ,8-Jul-23  ,Men's Bout         ,Jesus Aguilar
Vitor Petrino             ,Marcin Prachnio           ,9_0_0     ,16_6_0    ,False   ,   0 ,   0 ,44_81      ,55_88      ,72_111       ,147_185      ,4 of 6   ,0 of 1   ,        2 ,        0 ,   519 ,    18 ,32_68   ,25_54   ,Submission              ,         3 ,            222 ,3 Rnd (5-5-5)        ,8-Jul-23  ,Men's Bout         ,Vitor Petrino
Jimmy Crute               ,Alonzo Menifield          ,12_3_1    ,13_3_1    ,True    ,   0 ,   0 ,26_53      ,21_36      ,32_59        ,25_40        ,1 of 5   ,0 of 0   ,        0 ,        1 ,    72 ,   105 ,5_30    ,18_33   ,Submission              ,         2 ,            115 ,3 Rnd (5-5-5)        ,8-Jul-23  ,Men's Bout         ,Alonzo Menifield
Sean Strickland           ,Abus Magomedov            ,27_5_0    ,25_5_1    ,False   ,   1 ,   0 ,81_188     ,47_101     ,81_188       ,47_101       ,0 of 0   ,1 of 2   ,        0 ,        0 ,    10 ,    23 ,80_186  ,21_68   ,KO/TKO                  ,         2 ,            260 ,5 Rnd (5-5-5-5-5)    ,1-Jul-23  ,Men's Bout         ,Sean Strickland
Ismael Bonfim             ,Benoit Saint Denis        ,19_3_0    ,12_1_0    ,False   ,   0 ,   0 ,14_24      ,13_33      ,15_26        ,35_58        ,0 of 0   ,2 of 7   ,        0 ,        2 ,    10 ,   177 ,9_19    ,3_18    ,Submission              ,         1 ,            288 ,3 Rnd (5-5-5)        ,1-Jul-23  ,Men's Bout         ,Benoit Saint Denis
Ariane Lipski             ,Melissa Gatto             ,15_8_0    ,8_1_2     ,False   ,   0 ,   0 ,66_149     ,85_186     ,81_166       ,100_201      ,1 of 1   ,0 of 7   ,        0 ,        0 ,    47 ,   177 ,28_101  ,39_117  ,Decision - Split        ,         3 ,            300 ,3 Rnd (5-5-5)        ,1-Jul-23  ,Women's Bout       ,Ariane Lipski
Max Griffin               ,Michael Morales           ,19_9_0    ,14_0_0    ,False   ,   0 ,   0 ,36_102     ,72_164     ,39_105       ,73_165       ,0 of 8   ,1 of 1   ,        0 ,        0 ,   130 ,    27 ,28_93   ,59_145  ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,1-Jul-23  ,Men's Bout         ,Michael Morales
Damir Ismagulov           ,Grant Dawson              ,24_2_0    ,19_2_1    ,False   ,   0 ,   0 ,13_28      ,30_57      ,35_54        ,84_128       ,0 of 0   ,3 of 5   ,        0 ,        1 ,     8 ,   744 ,6_19    ,28_48   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,1-Jul-23  ,Men's Bout         ,Grant Dawson
Joanderson Brito          ,Westin Wilson             ,14_3_1    ,16_7_0    ,False   ,   0 ,   0 ,22_30      ,4_8        ,24_32        ,14_18        ,1 of 1   ,0 of 0   ,        0 ,        2 ,   128 ,     0 ,21_28   ,0_3     ,KO/TKO                  ,         1 ,            174 ,3 Rnd (5-5-5)        ,1-Jul-23  ,Men's Bout         ,Joanderson Brito
Brunno Ferreira           ,Nursulton Ruziboev        ,10_0_0    ,34_8_2    ,False   ,   0 ,   0 ,3_5        ,6_9        ,3_5          ,6_9          ,0 of 0   ,1 of 1   ,        0 ,        0 ,     0 ,     1 ,0_0     ,5_8     ,KO/TKO                  ,         1 ,             77 ,3 Rnd (5-5-5)        ,1-Jul-23  ,Men's Bout         ,Nursulton Ruziboev
Kevin Lee                 ,Rinat Fakhretdinov        ,18_7_0    ,20_1_1    ,False   ,   0 ,   1 ,3_8        ,11_17      ,3_8          ,11_17        ,0 of 0   ,0 of 0   ,        0 ,        1 ,     0 ,    20 ,3_8     ,6_12    ,Submission              ,         1 ,             55 ,3 Rnd (5-5-5)        ,1-Jul-23  ,Men's Bout         ,Rinat Fakhretdinov
Guram Kutateladze         ,Elves Brener              ,12_3_0    ,15_3_0    ,False   ,   0 ,   1 ,85_163     ,65_132     ,99_177       ,93_165       ,1 of 3   ,2 of 7   ,        0 ,        0 ,   143 ,   168 ,49_114  ,42_101  ,KO/TKO                  ,         3 ,            197 ,3 Rnd (5-5-5)        ,1-Jul-23  ,Men's Bout         ,Elves Brener
Alexandr Romanov          ,Blagoy Ivanov             ,16_2_0    ,19_5_0    ,False   ,   0 ,   0 ,85_154     ,44_108     ,104_180      ,44_108       ,2 of 3   ,0 of 0   ,        0 ,        0 ,   173 ,     0 ,52_121  ,38_102  ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,1-Jul-23  ,Men's Bout         ,Alexandr Romanov
Yana Santos               ,Karol Rosa                ,14_7_0    ,16_5_0    ,False   ,   0 ,   0 ,95_156     ,66_130     ,151_213      ,117_181      ,0 of 0   ,1 of 1   ,        0 ,        0 ,   233 ,    41 ,20_69   ,38_95   ,Decision - Split        ,         3 ,            300 ,3 Rnd (5-5-5)        ,1-Jul-23  ,Women's Bout       ,Karol Rosa
Ivana Petrovic            ,Luana Carolina            ,6_0_0     ,8_4_0     ,False   ,   0 ,   0 ,22_62      ,41_87      ,77_122       ,112_167      ,2 of 6   ,1 of 3   ,        2 ,        0 ,   251 ,   345 ,15_51   ,18_60   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,1-Jul-23  ,Women's Bout       ,Luana Carolina
Neil Magny                ,Phil Rowe                 ,27_11_0   ,10_3_0    ,False   ,   0 ,   0 ,29_65      ,34_64      ,109_159      ,51_86        ,0 of 3   ,1 of 2   ,        0 ,        0 ,   271 ,   278 ,23_57   ,17_43   ,Decision - Split        ,         3 ,            300 ,3 Rnd (5-5-5)        ,24-Jun-23 ,Men's Bout         ,Neil Magny
Brendan Allen             ,Bruno Silva               ,21_5_0    ,23_9_0    ,False   ,   1 ,   0 ,30_56      ,20_38      ,40_69        ,24_42        ,0 of 2   ,0 of 0   ,        1 ,        0 ,   149 ,     2 ,24_49   ,17_33   ,Submission              ,         1 ,            279 ,3 Rnd (5-5-5)        ,24-Jun-23 ,Men's Bout         ,Brendan Allen
Mateusz Rebecki           ,Loik Radzhabov            ,17_1_0    ,17_4_1    ,False   ,   2 ,   0 ,54_95      ,19_54      ,64_110       ,19_54        ,1 of 1   ,0 of 0   ,        1 ,        0 ,   117 ,     3 ,24_58   ,16_50   ,KO/TKO                  ,         2 ,            156 ,3 Rnd (5-5-5)        ,24-Jun-23 ,Men's Bout         ,Mateusz Rebecki
Josh Emmett               ,Ilia Topuria              ,18_3_0    ,13_0_0    ,False   ,   0 ,   1 ,87_305     ,152_344    ,89_309       ,171_365      ,0 of 0   ,3 of 3   ,        0 ,        0 ,     0 ,   215 ,43_232  ,124_302 ,Decision - Unanimous    ,         5 ,            300 ,5 Rnd (5-5-5-5-5)    ,24-Jun-23 ,Men's Bout         ,Ilia Topuria
David Onama               ,Gabriel Santos            ,10_2_0    ,10_1_0    ,False   ,   1 ,   0 ,53_104     ,39_73      ,59_118       ,56_90        ,0 of 1   ,2 of 4   ,        0 ,        2 ,   173 ,    91 ,47_95   ,22_46   ,KO/TKO                  ,         2 ,            253 ,3 Rnd (5-5-5)        ,24-Jun-23 ,Men's Bout         ,David Onama
Randy Brown               ,Wellington Turman         ,16_5_0    ,18_6_0    ,False   ,   0 ,   0 ,64_134     ,55_105     ,78_156       ,96_153       ,2 of 2   ,0 of 5   ,        0 ,        0 ,   167 ,   185 ,21_85   ,19_60   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,24-Jun-23 ,Men's Bout         ,Randy Brown
Austen Lane               ,Justin Tafa               ,16_5_0    ,18_6_0    ,False   ,   0 ,   0 ,3_5        ,0_3        ,3_5          ,0_3          ,0 of 0   ,0 of 0   ,        0 ,        0 ,     0 ,     0 ,1_3     ,0_3     ,Could Not Continue      ,         1 ,             29 ,3 Rnd (5-5-5)        ,24-Jun-23 ,Men's Bout         ,
Amanda Ribas              ,Maycee Barber             ,11_3_0    ,12_2_0    ,False   ,   0 ,   0 ,35_74      ,81_124     ,43_85        ,93_139       ,2 of 3   ,0 of 1   ,        0 ,        0 ,   145 ,    82 ,21_52   ,70_108  ,KO/TKO                  ,         2 ,            222 ,3 Rnd (5-5-5)        ,24-Jun-23 ,Women's Bout       ,Maycee Barber
Tabatha Ricci             ,Gillian Robertson         ,8_2_0     ,12_7_0    ,False   ,   0 ,   0 ,100_315    ,76_219     ,101_318      ,78_225       ,3 of 8   ,1 of 4   ,        0 ,        0 ,    38 ,    26 ,59_257  ,31_150  ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,24-Jun-23 ,Women's Bout       ,Tabatha Ricci
Zhalgas Zhumagulov        ,Joshua Van                ,14_8_0    ,8_1_0     ,False   ,   0 ,   0 ,103_287    ,120_234    ,104_291      ,131_245      ,1 of 5   ,0 of 2   ,        0 ,        0 ,    70 ,     1 ,45_201  ,78_179  ,Decision - Split        ,         3 ,            300 ,3 Rnd (5-5-5)        ,24-Jun-23 ,Men's Bout         ,Joshua Van
Cody Brundage             ,Sedriques Dumas           ,9_4_0     ,8_1_0     ,False   ,   0 ,   0 ,3_10       ,17_22      ,31_43        ,77_96        ,2 of 4   ,0 of 0   ,        1 ,        0 ,   113 ,   668 ,2_6     ,13_17   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,24-Jun-23 ,Men's Bout         ,Sedriques Dumas
Trevor Peek               ,Chepe Mariscal            ,9_0_0     ,14_6_1    ,False   ,   0 ,   0 ,51_125     ,71_117     ,65_140       ,145_203      ,0 of 0   ,4 of 12  ,        0 ,        1 ,    83 ,   329 ,25_91   ,51_94   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,24-Jun-23 ,Men's Bout         ,Chepe Mariscal
Jamall Emmers             ,Jack Jenkins              ,20_6_0    ,11_3_0    ,False   ,   0 ,   0 ,57_155     ,59_119     ,76_185       ,85_154       ,1 of 6   ,1 of 1   ,        0 ,        0 ,   257 ,    15 ,26_98   ,26_67   ,Decision - Split        ,         3 ,            300 ,3 Rnd (5-5-5)        ,24-Jun-23 ,Men's Bout         ,Jack Jenkins
Manuel Torres             ,Nikolas Motta             ,13_2_0    ,13_4_0    ,False   ,   1 ,   0 ,13_17      ,7_14       ,13_17        ,7_14         ,0 of 0   ,0 of 0   ,        0 ,        0 ,     1 ,     0 ,3_7     ,3_10    ,KO/TKO                  ,         1 ,            110 ,3 Rnd (5-5-5)        ,17-Jun-23 ,Men's Bout         ,Manuel Torres
Kyung Ho Kang             ,Cristian Quinonez         ,18_10_0   ,18_3_0    ,False   ,   1 ,   0 ,22_37      ,13_29      ,31_46        ,13_29        ,1 of 1   ,0 of 0   ,        1 ,        0 ,    40 ,     0 ,14_28   ,11_27   ,Submission              ,         1 ,            145 ,3 Rnd (5-5-5)        ,17-Jun-23 ,Men's Bout         ,Kyung Ho Kang
Nicolas Dalby             ,Muslim Salikhov           ,22_4_1    ,19_3_0    ,False   ,   0 ,   0 ,86_140     ,57_88      ,104_158      ,70_101       ,2 of 5   ,2 of 2   ,        0 ,        0 ,   396 ,    55 ,41_84   ,34_58   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,17-Jun-23 ,Men's Bout         ,Nicolas Dalby
Marvin Vettori            ,Jared Cannonier           ,19_6_1    ,16_6_0    ,False   ,   0 ,   0 ,153_301    ,241_411    ,154_302      ,257_428      ,1 of 1   ,4 of 6   ,        0 ,        0 ,    28 ,   187 ,117_257 ,173_339 ,Decision - Unanimous    ,         5 ,            300 ,5 Rnd (5-5-5-5-5)    ,17-Jun-23 ,Men's Bout         ,Jared Cannonier
Pat Sabatini              ,Lucas Almeida             ,17_5_0    ,14_1_0    ,False   ,   0 ,   0 ,27_35      ,2_4        ,88_97        ,3_5          ,2 of 3   ,0 of 0   ,        1 ,        0 ,   387 ,     0 ,25_32   ,0_2     ,Submission              ,         2 ,            108 ,3 Rnd (5-5-5)        ,17-Jun-23 ,Men's Bout         ,Pat Sabatini
Armen Petrosyan           ,Christian Leroy Duncan    ,8_2_0     ,8_0_0     ,False   ,   0 ,   0 ,89_156     ,59_122     ,111_179      ,73_136       ,1 of 2   ,0 of 3   ,        0 ,        0 ,   201 ,    69 ,37_90   ,23_72   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,17-Jun-23 ,Men's Bout         ,Armen Petrosyan
Arman Tsarukyan           ,Joaquim Silva             ,19_3_0    ,12_4_0    ,False   ,   0 ,   0 ,80_115     ,23_41      ,134_175      ,77_96        ,4 of 5   ,0 of 0   ,        0 ,        0 ,   541 ,     0 ,64_95   ,11_27   ,KO/TKO                  ,         3 ,            205 ,3 Rnd (5-5-5)        ,17-Jun-23 ,Men's Bout         ,Arman Tsarukyan
Jimmy Flick               ,Alessandro Costa          ,16_6_0    ,12_4_0    ,False   ,   0 ,   1 ,14_37      ,65_91      ,14_37        ,65_92        ,0 of 4   ,0 of 0   ,        0 ,        0 ,    14 ,    50 ,6_27    ,37_58   ,KO/TKO                  ,         2 ,             63 ,3 Rnd (5-5-5)        ,17-Jun-23 ,Men's Bout         ,Alessandro Costa
Zac Pauga                 ,Modestas Bukauskas        ,7_1_0     ,14_6_0    ,False   ,   0 ,   0 ,67_117     ,56_112     ,72_123       ,62_120       ,1 of 5   ,0 of 0   ,        0 ,        0 ,   137 ,    80 ,35_80   ,42_96   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,17-Jun-23 ,Men's Bout         ,Modestas Bukauskas
Carlos Hernandez          ,Denys Bondar              ,8_2_0     ,16_4_0    ,False   ,   0 ,   0 ,102_233    ,76_170     ,108_239      ,82_176       ,2 of 7   ,2 of 5   ,        0 ,        0 ,    40 ,    29 ,87_213  ,37_121  ,Decision - Unanimous    ,         3 ,            299 ,3 Rnd (5-5-5)        ,17-Jun-23 ,Men's Bout         ,Carlos Hernandez
Tereza Bleda              ,Gabriella Fernandes       ,6_1_0     ,8_2_0     ,False   ,   0 ,   0 ,57_99      ,23_47      ,181_235      ,47_72        ,3 of 10  ,0 of 0   ,        0 ,        0 ,   651 ,    10 ,38_70   ,11_34   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,17-Jun-23 ,Women's Bout       ,Tereza Bleda
Dan Argueta               ,Ronnie Lawrence           ,6_1_0     ,8_2_0     ,False   ,   0 ,   0 ,4_4        ,1_2        ,12_12        ,2_3          ,1 of 1   ,0 of 0   ,        2 ,        0 ,   128 ,     3 ,3_3     ,0_1     ,Overturned              ,         1 ,            140 ,3 Rnd (5-5-5)        ,17-Jun-23 ,Men's Bout         ,
Mike Malott               ,Adam Fugitt               ,9_1_1     ,9_3_0     ,False   ,   1 ,   0 ,19_41      ,9_28       ,19_41        ,16_35        ,2 of 2   ,0 of 0   ,        1 ,        0 ,    86 ,     7 ,9_29    ,2_17    ,Submission              ,         2 ,             66 ,3 Rnd (5-5-5)        ,10-Jun-23 ,Men's Bout         ,Mike Malott
Amanda Nunes              ,Irene Aldana              ,22_5_0    ,14_6_0    ,False   ,   0 ,   0 ,142_267    ,41_143     ,196_323      ,57_159       ,6 of 13  ,0 of 0   ,        0 ,        0 ,   420 ,    10 ,97_198  ,25_118  ,Decision - Unanimous    ,         5 ,            300 ,5 Rnd (5-5-5-5-5)    ,10-Jun-23 ,Women's Title Bout ,Amanda Nunes
Nassourdine Imavov        ,Chris Curtis              ,22_5_0    ,14_6_0    ,False   ,   0 ,   0 ,57_84      ,26_61      ,59_86        ,34_69        ,3 of 4   ,0 of 0   ,        1 ,        0 ,   142 ,     0 ,27_48   ,4_28    ,Could Not Continue      ,         2 ,            184 ,3 Rnd (5-5-5)        ,10-Jun-23 ,Men's Bout         ,
